Date,Open,High,Low,Close,Adj Close,Volume
2019-05-02,46.000000,72.949997,45.000000,65.750000,65.750000,23119000
2019-05-03,72.000000,74.000000,65.660004,66.790001,66.790001,13139400
2019-05-06,62.730000,74.839996,62.500000,74.790001,74.790001,8746200
2019-05-07,77.139999,85.449997,75.000000,79.169998,79.169998,16532100
2019-05-08,83.610001,85.379997,70.785004,72.250000,72.250000,14711800
2019-05-09,70.500000,73.199997,67.099998,68.269997,68.269997,6284500
2019-05-10,69.089996,69.332001,61.599998,66.220001,66.220001,4888000
2019-05-13,65.459999,71.959999,63.360001,69.500000,69.500000,4784500
2019-05-14,72.480003,80.750000,71.120003,79.680000,79.680000,7079600
2019-05-15,79.000000,93.000000,74.550003,86.919998,86.919998,18356200
2019-05-16,90.099998,96.785004,89.510002,92.919998,92.919998,13900300
2019-05-17,92.459999,96.680000,85.709999,89.349998,89.349998,10724100
2019-05-20,88.900002,90.959999,83.129997,86.089996,86.089996,5189700
2019-05-21,88.029999,88.750000,76.760002,77.500000,77.500000,9065100
2019-05-22,77.379997,81.739998,77.000000,77.629997,77.629997,3898400
2019-05-23,79.400002,83.800003,78.123001,82.099998,82.099998,4331300
2019-05-24,83.919998,85.500000,79.510002,79.669998,79.669998,2909500
2019-05-28,83.980003,88.830002,83.699997,86.000000,86.000000,6604000
2019-05-29,90.050003,97.650002,87.320000,97.500000,97.500000,8372000
2019-05-30,101.897003,105.250000,94.029999,98.589996,98.589996,12359800
2019-05-31,100.000000,104.550003,97.260002,104.120003,104.120003,7733900
2019-06-03,104.139999,108.669998,95.662003,96.160004,96.160004,8027700
2019-06-04,101.250000,103.500000,97.820000,103.410004,103.410004,5484900
2019-06-05,105.500000,105.500000,99.639999,102.599998,102.599998,4283500
2019-06-06,102.000000,102.250000,98.849998,99.500000,99.500000,6484000
2019-06-07,130.000000,149.460007,120.760002,138.649994,138.649994,23916700
2019-06-10,155.699997,186.429993,147.000000,168.100006,168.100006,24986000
2019-06-11,145.250000,150.000000,125.230003,126.040001,126.040001,15516000
2019-06-12,133.990005,150.449997,131.563004,141.970001,141.970001,16918600
2019-06-13,141.520004,146.449997,134.250000,141.389999,141.389999,9474600
2019-06-14,142.009995,157.899994,141.800003,151.479996,151.479996,14964600
2019-06-17,163.179993,171.190002,160.610992,169.960007,169.960007,14626700
2019-06-18,200.000000,201.880005,160.699997,169.889999,169.889999,23966900
2019-06-19,171.369995,174.449997,162.250000,169.279999,169.279999,9452000
2019-06-20,173.000000,174.000000,163.300003,165.169998,165.169998,6660500
2019-06-21,153.539993,161.789993,150.000000,154.130005,154.130005,7474600
2019-06-24,151.880005,152.699997,138.000000,140.990005,140.990005,6538500
2019-06-25,138.500000,150.690002,138.343002,150.600006,150.600006,6632500
2019-06-26,160.100006,162.250000,153.020004,160.479996,160.479996,6378600
2019-06-27,157.309998,164.789993,155.449997,162.910004,162.910004,5731400
2019-06-28,165.300003,168.800003,159.550003,160.679993,160.679993,7315300
2019-07-01,161.490005,162.449997,152.000000,152.580002,152.580002,4449300
2019-07-02,153.000000,153.699997,147.020004,149.710007,149.710007,3267500
2019-07-03,151.000000,154.000000,148.699997,151.500000,151.500000,2261000
2019-07-05,150.000000,153.789993,148.056000,152.630005,152.630005,2040300
2019-07-08,152.490005,158.929993,152.000000,156.669998,156.669998,3611300
2019-07-09,158.729996,159.589996,154.509995,157.820007,157.820007,2540843
